!SIL	SIL
कर्तव्यनिष्ठ	k a r t a w y a n i sx txh
कर्तव्यनिष्ठा	k a r t a w y a n i sx txh aa
कर्तव्यों	k a r t a w y o q
कर्ताओं	k a r t aa o q
कर्न	k a r n
कर्नर	k a r n a r
कर्नल	k a r n a l
कर्नाट	k a r n aa tx
कर्नाटक	k a r n aa tx a k
कर्नाटका	k a r n aa tx k aa
कर्मकर	k a r m a k a r
कर्मकांड	k a r m a k aa q dx
कर्मचारियों	k a r m a c aa r i y o q
कर्मचारी	k a r m a c aa r ii
कर्मण्यता	k a r m a nx y a t aa
कर्मरकर	k a r m a r k a r
कर्माकर	k a r m aa k a r
कर्मियों	k a r m i y o q
कर्मी	k a r m ii
कर्मीपदों	k a r m ii p d o q
कर्व	k a r w
कर्व्ड	k a r w dx
कल	k a l
कलंक	k a l a q k
कलर	k a l a r
कलरफुल	k a l r a ph u l
कलर्स	k a l a r s
कला	k a l aa
कलाकार	k a l aa k aa r
कलाकारों	k a l aa k aa r o q
कलात्मक	k a l aa t m a k
कलाधरन	k a l aa dh r a n
कलानिक	k a l aa n i k
कलाम	k a l aa m
कलिमपोंग	k a l i m p o q g
कलेक्टिव	k a l ee k tx i w
कलेजे	k a l ee j ee
कल्चर	k a l c a r
कल्पना	k a l p a n aa
कल्याण	k a l y aa nx
कल्याणकारी	k a l y aa nx k aa r ii
कव	k a w
कवच	k a w a c
कवर	k a w a r
कवरेज	k a w r ee j
कवलित	k a w l i t
कवायद	k a w aa y a d
कवि	k a w i
कविता	k a w i t aa
कविताओं	k a w i t aa o q
कवे	k a w ee
कश्मीर	k a sh m ii r
कश्मीरी	k a sh m ii r ii
कश्यप	k a sh y a p
कष्ट	k a sx tx
कष्मीर	k a sx m ii r
कस	k a s
कसती	k a s t ii
कसते	k a s t ee
कसने	k a s n ee
कसबसे	k a s a b s ee
कसर	k a s a r
कसरत	k a s r a t
कसा	k a s aa
कसाना	k a s aa n aa
कसी	k a s ii
कसूर	k a s uu r
कसे	k a s ee
कसौनसभी	k a s ou n a s bh ii
कस्टमर	k a s tx a m a r
कस्टमर्स	k a s tx a m a r s
कस्टम्स	k a s tx a m s
कस्थानिक	k a s th aa n i k
कस्बों	k a s b o q
कस्मटर्स	k a s m a tx a r s
कस्सी	k a s s ii
कह	k a h
कहत	k a h a t
कहता	k a h t aa
कहती	k a h t ii
कहते	k a h t ee
कहना	k a h n aa
कहनी	k a h n ii
कहने	k a h n ee
कहर	k a h a r
कहला	k a h l aa
कहलाता	k a h l aa t aa
कहलाते	k a h l aa t ee
कहलाने	k a h l aa n ee
कहहा	k a h h aa
कहा	k a h aa
कहाँ	k a h aa mq
कहां	k a h aa q
कहाआठ	k a h aa aa txh
कहाउपभोक्ता	k a h aa u p bh o k t aa
कहाकुछ	k a h aa k u ch
कहानियां	k a h aa n i y aa q
कहानियों	k a h aa n i y o q
कहानी	k a h aa n ii
कहापिछले	k a h aa p i ch l ee
कहालुटियंस	k a h aa l u tx i y a q s
कहावत	k a h aa w a t
कहावह	k a h aa w a h
कहासंसद	k a h aa s a q s a d
कही	k a h ii
कहीं	k a h ii q
कहीरैली	k a h ii r ei l ii
कहूंगी	k a h uu q g ii
कहे	k a h ee
कहेंगे	k a h ee q g ee
कहै	k a h ei
कहैं	k a h ei q
का	k aa
कांकेर	k aa q k ee r
कांग्रस	k aa q g r a s
कांग्रेस	k aa q g r ee s
कांचीपुरम	k aa q c ii p u r a m
कांट्रेक्ट	k aa q tx r ee k tx
कांत	k aa q t
कांतीवारा	k aa q t ii w aa r aa
कांपती	k aa q p a t ii
कांपने	k aa q p a n ee
कांफ्रेंस	k aa q ph r ee q s
कांबली	k aa q b a l ii
कांस्टेब	k aa q s tx ee b
कांस्टेबल	k aa q s tx ee b a l
कांस्टेबलपदों	k aa q s tx ee b a l p a d o q
कांस्टेबलों	k aa q s tx ee b l o q
कांस्य	k aa q s y
काइली	k aa i l ii
काउंटर	k aa u q tx a r
काउंसलर	k aa u q s a l a r
काउंसलर्स	k aa u q s a l a r s
काउंसिल	k aa u q s i l
काउच	k aa u c
काउन्टर	k aa u n tx a r
काऊण्टर	k aa uu nx tx a r
काका	k aa k aa
काकादेव	k aa k aa d ee w
कागजों	k aa g j o q
काजल	k aa j a l
काजोल	k aa j o l
काट	k aa tx
काटते	k aa tx t ee
काटनी	k aa tx n ii
काटा	k aa tx aa
काटी	k aa tx ii
काटे	k aa tx ee
काठमांडो	k aa txh m aa q dx o
काठी	k aa txh ii
काडर्स	k aa dx a r s
काडर््स	k aa dx a r s
कातिलों	k aa t i l o q
कान	k aa n
कानपुर	k aa n p u r
कानून	k aa n uu n
कानूनी	k aa n uu n ii
कानूनों	k aa n uu n o q
कापरियो	k aa p r i y o
कापोरिया	k aa p o r i y aa
काफिले	k aa ph i l ee
काफी	k aa ph ii
काबि	k aa b i
काबिज	k aa b i j
काबिल	k aa b i l
काबिले	k aa b i l ee
काबील	k aa b ii l
काबुल	k aa b u l
काबू	k aa b uu
काम	k aa m
कामकाज	k aa m k aa j
कामकाजी	k aa m k aa j ii
कामगारों	k aa m g aa r o q
कामतनाथ	k aa m t a n aa th
कामना	k aa m n aa
कामयाब	k aa m y aa b
कामयाबी	k aa m y aa b ii
कामो	k aa m o
कामों	k aa m o q
कायदे	k aa y d ee
कायम	k aa y a m
कायराना	k aa y r aa n aa
कार	k aa r
कारक	k aa r a k
कारकों	k aa r k o q
कारखाना	k aa r kh aa n aa
कारखाने	k aa r kh aa n ee
कारखानों	k aa r kh aa n o q
कारगर	k aa r g a r
कारगिल	k aa r g i l
कारगुजारियों	k aa r g u j aa r i y o q
कारण	k aa r a nx
कारणों	k aa r nx o q
कारण्	k aa r a nx
कारनामा	k aa r n aa m aa
कारनामों	k aa r n aa m o q
कारबाइड	k aa r b aa i dx
कारबार	k aa r b aa r
कारागार	k aa r aa g aa r
कारि	k aa r i
कारीअर्ज	k aa r ii a r j
कारीगरी	k aa r ii g r ii
कारीगरों	k aa r ii g r o q
कारें	k aa r ee q
कारों	k aa r o q
कारोबार	k aa r o b aa r
कारोबारियों	k aa r o b aa r i y o q
कारोबारी	k aa r o b aa r ii
कारोलिना	k aa r o l i n aa
कार्ट	k aa r tx
कार्टून	k aa r tx uu n
कार्ड	k aa r dx
कार्डस	k aa r dx a s
कार्डियो	k aa r dx i y o
कार्डों	k aa r dx o q
कार्ड्	k aa r dx
कार्ड्स	k aa r dx s
कार्तिक	k aa r t i k
कार्नर	k aa r n a r
कार्नेल	k aa r n ee l
कार्पोरेट	k aa r p o r ee tx
कार्पोरेशन	k aa r p o r ee sh a n
कार्बन	k aa r b a n
कार्बोनेट	k aa r b o n ee tx
कार्बोहाइड्रे	k aa r b o h aa i dx r ee
कार्बोहाइड्रेट	k aa r b o h aa i dx r ee tx
कार्मिक	k aa r m i k
कार्य	k aa r y
कार्यकर्ता	k aa r y a k a r t aa
कार्यकर्ताओं	k aa r y a k a r t aa o q
कार्यकलापों	k aa r y a k a l aa p o q
कार्यकारिणी	k aa r y a k aa r i nx ii
कार्यकारी	k aa r y a k aa r ii
कार्यकाल	k aa r y a k aa l
कार्यक्रम	k aa r y a k r a m
कार्यक्रमो	k aa r y a k r a m o
कार्यक्रमों	k aa r y a k r a m o q
कार्यक्षेत्र	k aa r y a k sx ee t r
कार्यदिवसों	k aa r y a d i w s o q
कार्यनिष्ठा	k aa r y a n i sx txh aa
कार्यपालक	k aa r y a p aa l a k
कार्यपालिका	k aa r y a p aa l i k aa
कार्यप्रणाली	k aa r y a p r a nx aa l ii
कार्यबल	k aa r y a b a l
कार्यमंत्री	k aa r y a m a q t r ii
कार्ययोजना	k aa r y a y o j n aa
कार्यरत	k aa r y a r a t
कार्यवाहक	k aa r y a w aa h a k
कार्यवाही	k aa r y a w aa h ii
कार्यशैली	k aa r y a sh ei l ii
कार्यस्थल	k aa r y a s th a l
कार्यान्यवन	k aa r y aa n y a w a n
कार्यान्वय	k aa r y aa n w a y
कार्यान्वयन	k aa r y aa n w a y a n
कार्यालय	k aa r y aa l a y
कार्यालयों	k aa r y aa l y o q
कार्यो	k aa r y o
कार्यों	k aa r y o q
कार्र	k aa r r
कार्रवाइयों	k aa r r w aa i y o q
कार्रवाई	k aa r r w aa ii
कार्रवाही	k aa r r w aa h ii
काल	k aa l
कालकवलित	k aa l k a w l i t
कालखंड	k aa l kh a q dx
कालग्रेन	k aa l a g r ee n
कालदोष	k aa l d o sx
कालनन	k aa l n a n
काला	k aa l aa
कालाध	k aa l aa dh
कालाधन	k aa l aa dh a n
कालापन	k aa l aa p a n
कालायान	k aa l aa y aa n
कालिंदी	k aa l i q d ii
कालिकट	k aa l i k a tx
कालिख	k aa l i kh
काली	k aa l ii
कालीन	k aa l ii n
काले	k aa l ee
कालेज	k aa l ee j
कालेजों	k aa l ee j o q
कालेधन	k aa l ee dh a n
कालेधान	k aa l ee dh aa n
कालेधिन	k aa l ee dh i n
काल्पनिक	k aa l p a n i k
काल्स	k aa l s
कावेरी	k aa w ee r ii
काश	k aa sh
काशशफ	k aa sh sh a ph
काशिफ	k aa sh i ph
कास्ट	k aa s tx
कास्टिंग	k aa s tx i q g
कास्ट्स	k aa s tx s
कास्त्रो	k aa s t r o
कि	k i
किंकर्तव्यविमूढ़	k i q k a r t a w y a w i m uu dxhq
किंग	k i q g
किंगस	k i q g a s
किंगस्टन	k i q g a s tx a n
किंग्स	k i q g s
किंग्स्टन	k i q g s tx a n
किउन्हें	k i u n h ee q
किए	k i ee
किएलेकिन	k i ee l ee k i n
किक	k i k
किग्रा	k i g r aa
किचन	k i c a n
किट	k i tx
किड	k i dx
किडनी	k i dx n ii
किडनैप	k i dx n ei p
कितना	k i t n aa
कितनी	k i t n ii
कितने	k i t n ee
कितनेक	k i t n ee k
किताब	k i t aa b
किताबे	k i t aa b ee
किताबें	k i t aa b ee q
किदरार	k i d r aa r
किधर	k i dh a r
किन	k i n
किनके	k i n k ee
किनको	k i n k o
किनारा	k i n aa r aa
किनारे	k i n aa r ee
किनारो	k i n aa r o
किन्ग	k i n g
किन्गस	k i n g a s
किन्तु	k i n t u
किपर	k i p a r
किप्टोवायर	k i p tx o w aa y a r
किफायती	k i ph aa y t ii
किमी	k i m ii
किय	k i y
किया	k i y aa
कियालेकिन	k i y aa l ee k i n
किये	k i y ee
किरण	k i r a nx
किरदार	k i r d aa r
किरन	k i r a n
किराए	k i r aa ee
किराय	k i r aa y
किराया	k i r aa y aa
किरायों	k i r aa y o q
किल	k i l
किलते	k i l t ee
किलो	k i l o
किलोग्राम	k i l o g r aa m
किलोमिटर	k i l o m i tx a r
किलोमीटर	k i l o m ii tx a r
किल्लत	k i l l a t
किश	k i sh
किशोर	k i sh o r
किशोरी	k i sh o r ii
किश्तवाड़	k i sh t a w aa dxq
किस	k i s
किसका	k i s k aa
किसकी	k i s k ii
किसके	k i s k ee
किसने	k i s n ee
किसपे	k i s p ee
किससे	k i s s ee
किसान	k i s aa n
किसानी	k i s aa n ii
किसानों	k i s aa n o q
किसिओ	k i s i o
किसी	k i s ii
किसे	k i s ee
किस्त	k i s t
किस्म	k i s m
किस्मत	k i s m a t
किस्से	k i s s ee
किि	k i i
कििि	k i i i
किे	k i ee
किेस	k i ee s
की	k ii
कीं	k ii q
कीअमर	k ii a m a r
कीचड़	k ii c a dxq
कीजिए	k ii j i ee
कीट	k ii tx
कीटन	k ii tx a n
कीटनाशक	k ii tx n aa sh a k
कीटिंग	k ii tx i q g
कीदलीलों	k ii d l ii l o q
कीनोट	k ii n o tx
कीपर	k ii p a r
कीपरपदों	k ii p a r p a d o q
कीपिंग	k ii p i q g
कीमत	k ii m a t
कीमततीन	k ii m t a t ii n
कीमतें	k ii m t ee q
कीमतों	k ii m t o q
कीर्ति	k ii r t i
कीर्तिमान	k ii r t i m aa n
कीवियों	k ii w i y o q
कीे	k ii ee
कुंगा	k u q g aa
कुंजी	k u q j ii
कुंडल	k u q dx a l
कुंबले	k u q b a l ee
कुंभ	k u q bh
कुंभकर्ण	k u q bh a k a r nx
कुंम्भकरण	k u q m bh a k a r a nx
कुंवर	k u q w a r
कुओं	k u o q
कुक	k u k
कुकपदों	k u k p a d o q
कुख्यात	k u kh y aa t
कुचीपुडी	k u c ii p u dx ii
कुचीपुड़ी	k u c ii p u dxq ii
कुच्छ	k u c ch
कुछ	k u ch
कुछेक	k u ch ee k
कुटिया	k u tx i y aa
कुड्डालोर	k u dx dx aa l o r
कुत्तों	k u t t o q
कुदरती	k u d a r t ii
कुनबी	k u n b ii
कुन्ती	k u n t ii
कुपोषण	k u p o sx a nx
कुपोषित	k u p o sx i t
कुपोषितों	k u p o sx i t o q
कुप्रयास	k u p r a y aa s
कुबूल	k u b uu l
कुमकुम	k u m k u m
कुमाऊंनी	k u m aa uu q n ii
कुमार	k u m aa r
कुम्भकरण	k u m bh a k a r a nx
कुम्हार	k u m h aa r
कुरआन	k u r aa n
कुरते	k u r t ee
कुरबानी	k u r b aa n ii
कुरीतियां	k u r ii t i y aa q
कुरेद	k u r ee d
कुरैशी	k u r ei sh ii
कुर्ग	k u r g
कुर्बानियां	k u r b aa n i y aa q
कुल	k u l
कुलदीप	k u l d ii p
कुलपति	k u l a p t i
कुलीन	k u l ii n
कुल्लु	k u l l u
कुल्ले	k u l l ee
कुल्हरी	k u l h a r ii
कुशल	k u sh a l
कुशलता	k u sh a l t aa
कुशवाहा	k u sh w aa h aa
कुशाग्र	k u sh aa g r
कुशीनगर	k u sh ii n g a r
कूट	k uu tx
कूटनीति	k uu tx n ii t i
कूटनीतिक	k uu tx n ii t i k
कूदकर	k uu d k a r
कूदने	k uu d n ee
कूलर	k uu l a r
कूल्ड	k uu l dx
कूड़ा	k uu dxq aa
कूड़े	k uu dxq ee
कूड़ेदान	k uu dxq ee d aa n
कृतियों	k rq t i y o q
कृत्रिम	k rq t r i m
कृपलानी	k rq p l aa n ii
कृपा	k rq p aa
कृपालु	k rq p aa l u
कृप्लानी	k rq p l aa n ii
कृषक	k rq sx a k
कृषि	k rq sx i
कृषिक्षेत्र	k rq sx i k sx ee t r
कृषिमंत्री	k rq sx i m a q t r ii
कृषियोग्य	k rq sx i y o g y
कृष्ण	k rq sx nx
कॅरियर	k ae r i y a r
के	k ee
केंडिडेट	k ee q dx i dx ee tx
केंडिडेट्स	k ee q dx i dx ee tx s
केंद	k ee q d
केंद्र	k ee q d r
केंद्रपारा	k ee q d r a p aa r aa
केंद्रशासित	k ee q d r a sh aa s i t
केंद्रित	k ee q d r i t
केंद्रीकृत	k ee q d r ii k rq t
